Ambigous_word,POS_Tag,Ambigous_word_index,Sentence1,Sentence2,Label
chromosome,N,"['3', '11']",humans have 22 chromosome pairs plus two sex chromosomes ,there have been documented cases of morphologically male transgenders having xx chromosomes ,T
action,N,"['2', '2']",the union action of emancipating southern slaves ,recent federal action undermined the segregationist position ,T
drift,V,"['0', '3']",drift the cattle herds westwards ,the balloon was drifting in the breeze ,F
work,V,"['5', '2']",this old radio does nt work anymore ,this pilot works the controls ,F
coverage,N,"['11', '3']",the enemy fire is increasing  can we get some immediate coverage from those bunkers ,there are overlapping coverages on your insurance policies ,T
raise,V,"['0', '0']",raise cain ,raise the roof ,T
lift,V,"['0', '0']",lift an embargo ,lift potatoes ,F
chain,N,"['6', '1']",the third link of the silver chain needs to be resoldered ,the chain of command ,T
number,N,"['1', '3']",the number of parameters is small ,he had a number of chores to do ,T
know,V,"['1', '1']",i know that i left the key on the table ,galileo knew that the earth moves around the sun ,T
crash,V,"['2', '2']",let s crash the party ,the economy crashed ,F
one,N,"['3', '4']",this is the one i ordered ,he is the best one ,T
distance,N,"['8', '2']",if that happens it will be at some distance in the future ,at a distance of ten years he had forgotten many of the details ,T
rub,V,"['0', '2']",rub oil into her skin ,the cat rubbed itself against my leg ,T
draw,V,"['0', '1']",draw a conclusion ,i draw a line here ,T
dress,V,"['3', '1']",we had to dress quickly ,marlene dressed the baby ,T
quality,N,"['1', '0']",the quality of students has risen ,quality of life is usually determined by health  education  and income ,T
patch,N,"['2', '3']",a cabbage patch ,does nt that patch of clouds looks like a bunny ,F
swing,V,"['5', '2']",the soccer player began to swing at the referee ,this action swung many votes over to his side ,F
gather,V,"['0', '12']",gather some stones ,if you want to emphasise the shape  it is possible to gather the waistline ,F
narrowness,N,"['8', '3']",the attraction of the book is precisely its narrowness of focus ,frustrated by the narrowness of people s horizons ,T
number,N,"['10', '7']",in english the subject and the verb must agree in number ,i hope to become one of their number before i die ,F
pay,V,"['2', '2']",you ll pay for this ,you ll pay for this opinion later ,T
rub,V,"['0', '0']",rub my hands ,rub oil into her skin ,T
run,N,"['7', '5']",the defensive line braced to stop the run ,the team enjoyed a brief run of victories ,F
touch,V,"['10', '2']",can he reach    the chair must not touch the wall ,their hands touched ,F
advance,V,"['2', '1']",can you advance me some money ,to advance one s interests ,F
form,N,"['3', '9']",sculpture is a form of art ,to apply for the position  complete the application form ,F
go,V,"['2', '4']",messages must go through diplomatic channels ,the speech has to go through several more drafts ,F
finish,N,"['2', '6']",his best finish in a major tournament was third ,it was a fight to the finish ,F
head,N,"['6', '4']",a reduction in the assessment per head of sheep ,he was at the head of the column ,F
range,N,"['7', '9']",he dreamed of a home on the range ,they used to drive the cattle across the open range every spring ,T
run,V,"['0', '2']",run a new program on the mac ,do nt run that software unless you have permission   ,T
land,N,"['5', '4']",they come from a faraway land ,he returned to the land of his birth ,F
break,V,"['2', '2']",nobody can break out  this prison is high security ,three inmates broke jail ,T
reduce,V,"['0', '0']",reduce a problem to a single question ,reduce one s standard of living ,F
bank,V,"['4', '0']",the pilot had to bank the aircraft ,bank a fire ,F
splash,N,"['3', '4']",i heard a splash when the rock landed in the pond ,he made a great splash and then disappeared ,F
check,V,"['0', '0']",check the time of the class ,check the oil in your car once a month ,F
give,V,"['0', '3']",give the orders ,the french doors give onto a terrace ,F
develop,V,"['0', '2']",develop land ,the country developed its natural resources ,T
rearrange,V,"['1', '0']",please rearrange these files ,rearrange the furniture in my room ,T
art,N,"['0', '4']",art does not need to be innovative to be good ,it s quite an art ,F
see,V,"['3', '4']",i went to see my friend mary the other day ,this program will be seen all over the world ,F
business,N,"['4', '0']",show me where the business was today ,business has been slow lately ,T
carry,V,"['4', '2']",put down 5 and carry 2 ,this paper carries a restaurant review ,F
sing,V,"['4', '2']",i really want to sing in the school choir  said vera ,my brother sings very well ,T
job,N,"['1', '4']",the job of repairing the engine took several hours ,i ve got a job for you  could you wash the dishes ,T
give,V,"['0', '1']",give a course ,she gave the boy a good spanking ,F
time,N,"['4', '4']",we had a wonderful time at the party ,i did nt have time to finish ,F
title,N,"['12', '5']",he looked for books with the word ` jazz  in the title ,i can never remember movie titles ,T
exercise,V,"['2', '3']",some parents exercise their infants ,this puzzle will exercise your mind ,T
carry,V,"['2', '2']",these bonds carry warrants ,the restaurant carries an unusual name ,T
language,N,"['4', '3']",he recorded the spoken language of the streets ,he uttered harsh language ,T
track,V,"['0', '1']",track a missile ,i tracked prints ,F
polish,V,"['0', '1']",polish my shoes ,he polished up the chrome until it gleamed ,T
product,N,"['3', '4']",this is a product of lime and nitric acid ,his reaction was the product of hunger and fatigue ,F
come,V,"['0', '3']",come into the room ,the first success came three days later ,F
check,V,"['0', '2']",check the brakes ,i will check up on the car tomorrow ,T
control,N,"['1', '3']",the control condition was inappropriate for the conclusions he wished to draw ,i turned the controls over to her ,F
give,V,"['0', '3']",give priority to ,the french doors give onto a terrace ,F
call,N,"['12', '4']",he heard the phone ringing but did nt want to take the call ,he placed a phone call to london ,T
move,V,"['2', '6']",we must move quickly ,come on guys  let s move  there s work to do ,T
know,V,"['1', '3']",i know the feeling ,have you ever known hunger ,T
hegemony,N,"['7', '12']",the consolidation of the united states  hegemony over a new international economic system ,to say they have priority is not to say they have complete hegemony ,T
float,V,"['0', '2']",float the plaster ,the balloon floated off into the distance ,F
make,V,"['0', '1']",make a move ,they make a cute couple ,F
play,V,"['0', '1']",play a hooked fish ,he played  20 on the new horse ,F
get,V,"['3', '3']",where did she get these news ,you can not get water out of a stone ,T
run,N,"['2', '4']",his daily run keeps him fit ,he broke into a run ,T
know,V,"['1', '1']",i know your mother  but i ve never met your father ,i know this voice ,T
practice,N,"['4', '5']",i took over his practice when he retired ,it is not the local practice to wear shorts to dinner ,F
inwardness,N,"['0', '2']",inwardness is what an englishman quite simply has  painlessly  as a birthright ,socrates  inwardness  integrity  and inquisitiveness hrfinch ,F
admit,V,"['1', '1']",to admit a serious thought into the mind ,to admit evidence in the trial of a cause ,T
date,N,"['1', '7']",his date never stopped talking ,we have nt heard from them to date ,F
feast,N,"['3', '2']",we had a feast to celebrate the harvest ,the thanksgiving feast ,F
section,N,"['1', '2']",a section of a fishing rod ,the finance section of the company ,F
tramp,N,"['2', '1']",a homeless tramp ,the tramp of military boots ,F
life,N,"['5', '6']",the battery had a short life ,he lived a long and happy life ,T
make,V,"['0', '2']",make an estimate ,can you make me an omelette ,F
run,V,"['3', '1']",the sale will run for ten days ,they ran twenty blood tests on me and they still do nt know what s wrong ,F
break,V,"['0', '4']",break the cycle of poverty ,the first winter storm broke over new york ,F
notice,N,"['1', '3']",a notice of sale ,he took no notice of the changes  and went on as though nothing had happened ,F
tomorrow,N,"['5', '0']",everyone hopes for a better tomorrow ,tomorrow s world ,T
break,V,"['0', '2']",break a promise ,the surf broke ,F
master,N,"['1', '4']",a master of the violin ,one of the old masters ,T
mixture,N,"['3', '2']",he drank a mixture of beer and lemonade ,a gradual mixture of cultures ,F
keep,V,"['2', '0']",can i keep my old stuffed animals ,keep smiling ,F
cut,V,"['6', '4']",the glass from the shattered windshield cut into her forehead ,the new tooth is cutting ,F
suffer,V,"['3', '1']",i ve been suffering your insults for years ,he suffered the penalty ,T
call,N,"['4', '4']",he placed a phone call to london ,i received several phone calls today ,T
service,V,"['0', '6']",service my truck ,the washing machine needs to be serviced ,T
break,V,"['3', '3']",i had to break a  100 bill just to buy the candy ,his voice is breaking  he should no longer sing in the choir ,F
make,V,"['0', '0']",make one s way into the forest ,make yourself clear ,F
turn,V,"['0', '0']",turn cartwheels ,turn a somersault ,T
emission,N,"['1', '1']",the emission of heat from a fire ,the emission was mostly blood ,F
catch,V,"['11', '4']",i have some free time tonight so i think i ll catch a movie ,the fashion did not catch ,F
repair,V,"['1', '1']",to repair a shattered fortune ,to repair to sanctuary for safety ,F
excuse,N,"['4', '9']",he s a sorry excuse of a doctor ,he had to get his mother to write an excuse for him ,F
touch,V,"['5', '8']",the local mafia wo nt touch gambling ,are you all right  you ve hardly touched your lunch ,F
dent,N,"['3', '4']",it made a dent in my bank account ,the crash produced a dent in the left side of the car ,F
keep,V,"['3', '2']",where do you keep your gardening tools ,these potatoes keep for a long time ,F
patch,N,"['2', '2']",a cabbage patch ,a briar patch ,T
take,V,"['0', '2']",take a risk ,i ll take that plate off the table ,F
see,V,"['3', '1']",i want to see whether she speaks french ,i saw their laughing and joking ,F
place,N,"['3', '5']",he overstepped his place ,it is really not my place to say what is right and wrong in this case ,T
hold,V,"['6', '1']",the general ordered the colonel to hold his position at all costs ,he held the governorship for almost a decade ,F
break,N,"['1', '5']",the break in the eighth frame cost him the match ,they hoped to avoid a break in relations ,F
line,N,"['1', '4']",in line with ,he got out of line ,T
head,N,"['2', '1']",under the head of minor roman poets ,the head of the hammer ,F
